t,S,theta,kappa,sigma
0.000000000000000000e+00,1.079129383988915336e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
2.000000000000000111e-01,1.077780914474941509e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
4.000000000000000222e-01,1.186121272467505428e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
6.000000000000000888e-01,1.088590357382477336e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
8.000000000000000444e-01,1.004108385927780622e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+00,1.214350626443567949e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
1.200000000000000178e+00,1.080353894203426535e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
1.400000000000000133e+00,1.101978076395591755e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
1.600000000000000089e+00,1.015889102649781606e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
1.800000000000000044e+00,9.227554515515454803e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
2.000000000000000000e+00,1.104181546212655629e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
2.200000000000000178e+00,1.059220067073941562e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
2.400000000000000355e+00,1.127212283442194263e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
2.600000000000000089e+00,1.160545389903254065e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
2.800000000000000266e+00,1.280574372634442737e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
3.000000000000000000e+00,1.292835252718127492e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
3.200000000000000178e+00,1.198750230003233996e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
3.400000000000000355e+00,1.059629515420048795e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
3.600000000000000089e+00,1.123672532063556995e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
3.800000000000000266e+00,1.031761942847771563e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
4.000000000000000000e+00,1.009702299333488096e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
4.200000000000000178e+00,1.049033637142921860e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
4.400000000000000355e+00,1.136294959867012233e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
4.600000000000000533e+00,1.138983730966995900e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
4.800000000000000711e+00,9.811012800459755212e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
5.000000000000000000e+00,1.088045255042531689e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
5.200000000000000178e+00,1.212227889008902659e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
5.400000000000000355e+00,9.305405539537560111e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
5.600000000000000533e+00,1.116506480966607651e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
5.800000000000000711e+00,1.270478250629639261e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
6.000000000000000000e+00,1.216194224493281739e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
6.200000000000000178e+00,1.084279339823503330e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
6.400000000000000355e+00,9.760540348209597594e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
6.600000000000000533e+00,1.173437180518826395e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
6.800000000000000711e+00,9.893316485783464342e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
7.000000000000000000e+00,9.900181085623996902e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
7.200000000000000178e+00,8.112573841621769644e-01,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
7.400000000000000355e+00,1.108835873310106246e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
7.600000000000000533e+00,1.071373969852177366e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
7.800000000000000711e+00,1.141925646033395747e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
8.000000000000000000e+00,1.077179765337873851e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
8.200000000000001066e+00,1.014845309369763138e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
8.400000000000000355e+00,1.026610356541060698e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
8.599999999999999645e+00,1.314261110888429673e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
8.800000000000000711e+00,1.156454179758289902e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
9.000000000000000000e+00,1.018040645587275694e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
9.200000000000001066e+00,1.121892429456528006e+00,1.100000000000000089e+00,5.000000000000000000e+00,2.000000000000000111e-01
9.400000000000000355e+00,8.672425982697822278e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01
9.600000000000001421e+00,8.687816506316289322e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01
9.800000000000000711e+00,8.542451938055686256e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01
1.000000000000000000e+01,9.284272308225396397e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01
1.020000000000000107e+01,8.629147987189749180e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01
1.040000000000000036e+01,9.514519478467113878e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01
1.060000000000000142e+01,9.434254348547798097e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01
1.080000000000000071e+01,9.215941554443717321e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01
1.100000000000000000e+01,8.850073805400310301e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01
1.120000000000000107e+01,8.046546936542421369e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01
1.140000000000000036e+01,7.737062399867029594e-01,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01
1.160000000000000142e+01,1.035827540155118465e+00,9.000000000000000222e-01,5.000000000000000000e+00,2.000000000000000111e-01
